1884
 18       6.4       8.0       0.0       5.6       0.8       8.0       4.8       8.0       8.0       8.0       1.6       8.0
 19       0.0       0.0       8.0       8.0       8.0       8.0       0.0       4.0       8.0       8.0       0.0       0.0
 20       8.0       0.0       8.0       0.8       8.0       8.0       8.0       0.0       2.4       0.0       0.0       6.4
 21       8.0       7.2       0.0       8.0       8.0       8.0       8.0       0.0       7.2       0.0       8.0       8.0
 22       8.0       8.0       8.0       1.6       8.0       8.0       4.0       8.0       6.4       5.6       0.0       8.0
 23       8.0       8.0       8.0       8.0       2.4       8.0       8.0       8.0       8.0       4.0       8.0       1.6
 24       8.0       7.2       8.0       8.0       8.0       8.0       4.0       7.2       1.6       8.0       8.0       0.0
 25       7.2       8.0       8.0       6.4       6.4       8.0       8.0       0.0       8.0       0.0       8.0       8.0
 26       7.2       0.8       6.4       8.0       8.0       5.6       6.4       8.0       8.0       2.4       7.2       8.0
 27       3.2       8.0       8.0       0.0       6.4       8.0       0.0       8.0       8.0       4.0       5.6       8.0
 28       0.0       8.0       8.0       1.6       0.0       6.4       8.0       8.0       8.0       0.0       8.0       0.0
 29       3.2      -999       8.0       0.0       0.0       0.0       8.0       0.0       5.6       0.0       8.0       8.0
 30       8.0      -999       8.0       0.8       7.2       0.0       8.0       0.0       8.0       0.0       0.0       8.0
 31       8.0      -999       8.0      -999       8.0      -999       8.0       7.2      -999       0.0      -999       4.0

1910
  1       8.0       8.0       5.6       2.4       7.2       8.0       7.2       8.0       8.0       8.0       3.2       6.4
  2       8.0       0.0       8.0       8.0       7.2       7.2       8.0       8.0       8.0       8.0       0.0       8.0
  3       8.0       0.0       7.2       8.0       0.8       8.0       8.0       8.0       0.0       0.0       8.0       8.0
  4       8.0       8.0       5.6       8.0       8.0       8.0       8.0       0.0       0.0       6.4       0.0       8.0
  5       8.0       8.0       2.4       8.0       7.2       8.0       8.0       7.2       8.0       3.2       0.0       8.0
  6       8.0       8.0       8.0       8.0       4.0       2.4       1.6       1.6       5.6       0.0       0.8       6.4
  7       8.0       3.2       7.2       0.0       1.6       4.0       2.4       2.4       8.0       7.2       7.2       5.6
  8       4.0       7.2       8.0       0.0       7.2       0.8       0.0       8.0       6.4       8.0       0.0       8.0
  9       0.0       8.0       8.0       8.0       3.2       6.4       0.0       0.0       8.0       8.0       0.0       5.6
 10       6.4       0.0       3.2       0.0       0.0       8.0       0.0       1.6       8.0       8.0       8.0       4.8
 11       8.0       8.0       0.0       7.2       0.0       1.6       0.0       8.0       0.0       0.0       0.0       7.2
 12       0.0       3.2       7.2       8.0       8.0       8.0       0.0       8.0       5.6       0.0       8.0       5.6
 13       8.0       8.0       8.0       8.0       0.8       7.2       0.0       8.0       7.2       0.0       8.0       8.0
 14       8.0       4.0       8.0       6.4       0.0       8.0       0.0       8.0       0.0       0.0       7.2       8.0
 15       8.0       7.2       0.0       8.0       8.0       8.0       0.0       0.8       0.0       8.0       4.0       8.0
 16       6.4       8.0       8.0       0.0       0.0       0.0       0.0       8.0       8.0       8.0       6.4       8.0
 17       7.2       7.2       7.2       8.0       1.6       0.0       6.4       0.0       8.0       2.4       0.0       3.2
 18       4.0       8.0       6.4       6.4       8.0       3.2       8.0       0.8       8.0       7.2       0.0       8.0
 19       3.2       7.2       8.0       8.0       8.0       7.2       8.0       3.2       4.0       8.0       8.0       8.0
 20       0.8       8.0       8.0       8.0       0.0       8.0       8.0       8.0       8.0       0.8       2.4       0.0
 21       7.2       0.0       0.0       8.0       8.0       7.2       7.2       0.8       0.0       0.0       5.6       0.8
 22       8.0       6.4       8.0       7.2       3.2       6.4       7.2       8.0       8.0       1.6       8.0       8.0
 23       8.0       3.2       8.0       7.2       0.8       8.0       8.0       8.0       6.4       8.0       8.0       8.0
 24       8.0       6.4       8.0       7.2       0.0       8.0       8.0       7.2       2.4       8.0       8.0       6.4
 25       5.6       8.0       7.2       6.4       0.0       2.4       8.0       8.0       8.0       8.0       8.0       2.4
 26       0.0       2.4       7.2       7.2       8.0       8.0       8.0       8.0       8.0       8.0       8.0       8.0
 27       8.0       8.0       6.4       6.4       8.0       8.0       8.0       8.0       5.6       8.0       8.0       0.0
 28       5.6       8.0       0.0       6.4       8.0       0.0       8.0       8.0       8.0       8.0       0.8       4.0
 29       0.0      -999       0.0       0.0       2.4       7.2       8.0       1.6       0.0       8.0       0.0       4.0
 30       8.0      -999       0.0       8.0       8.0       8.0       8.0       8.0       0.8       8.0       4.8       8.0
 31       8.0      -999       0.0      -999       3.2      -999       3.2       0.0      -999       8.0      -999       8.0

1911
  1       2.4       8.0       8.0       7.2       8.0       6.4       8.0       6.4       0.0       8.0       8.0       7.2
  2       0.0       7.2       8.0       0.0       0.0       3.2       3.2       5.6       0.0       8.0       0.0       2.4
  3       4.0       8.0       8.0       1.6       0.0       1.6       8.0       6.4       7.2       0.0       5.6       8.0
  4       8.0       8.0       0.0       0.0       0.0       8.0       8.0       8.0       0.0       8.0       8.0       8.0
  5       8.0       8.0       8.0       0.0       8.0       8.0       0.0       0.0       0.0       7.2       7.2       4.0
  6       0.0       8.0       0.0       0.0       8.0       0.0       8.0       8.0       0.0       0.0       3.2       8.0
  7       5.6       8.0       8.0       0.0       8.0       0.0       0.0       1.6       0.0       8.0       8.0       0.0
  8       8.0       7.2       8.0       8.0       8.0       0.0       7.2       0.0       0.0       1.6       0.0       2.4
  9       3.2       8.0       2.4       6.4       1.6       0.0       0.0       1.6       1.6       5.6       0.0       8.0
 10       8.0       0.0       7.2       0.0       0.8       0.8       0.0       0.0       5.6       0.0       0.0       8.0
 11       6.4       0.0       1.6       0.0       0.0       0.0       0.0       1.6       8.0       6.4       8.0       0.0
 12       0.0       8.0       0.0       7.2       0.0       0.0       0.0       3.2       2.4       8.0       8.0       6.4
 13       8.0       8.0       0.0       3.2       8.0       0.0       0.0       0.0       8.0       7.2       8.0       8.0
 14       7.2       5.6       8.0       6.4       7.2       0.0       8.0       1.6       8.0       7.2       8.0       8.0
 15       8.0       8.0       4.0       0.0       7.2       4.8       3.2       0.0       5.6       8.0       5.6       5.6
 16       8.0       8.0       0.0       8.0       1.6       8.0       7.2       1.6       8.0       8.0       0.0       8.0
 17       8.0       8.0       7.2       8.0       8.0       4.0       8.0       7.2       8.0       7.2       8.0       7.2
 18       8.0       0.8       8.0       8.0       0.0       6.4       7.2       7.2       8.0       6.4       8.0       8.0
 19       8.0       6.4       8.0       6.4       0.0       8.0       8.0       8.0       8.0       8.0       8.0       6.4
 20       8.0       8.0       3.2       8.0       2.4       8.0       8.0       0.8       0.0       8.0       8.0       0.0
 21       8.0       8.0       2.4       8.0       0.0       8.0       7.2       7.2       0.0       8.0       0.0       2.4
 22       8.0       7.2       8.0       6.4       8.0       8.0       2.4       2.4       8.0       6.4       8.0       3.2
 23       8.0       1.6       8.0       6.4       8.0       8.0       0.0       5.6       0.0       7.2       8.0       8.0
 24       8.0       8.0       8.0       8.0       8.0       8.0       0.0       3.2       6.4       0.0       5.6       2.4
 25       8.0       8.0       0.0       8.0       8.0       8.0       8.0       2.4       2.4       8.0       7.2       0.0
 26       8.0       8.0       4.8       8.0       0.0       4.0       8.0       8.0       8.0       8.0       2.4       4.0
 27       7.2       8.0       7.2       8.0       0.0       8.0       8.0       5.6       5.6       0.0       8.0       8.0
 28       8.0       3.2       8.0       8.0       0.0       8.0       8.0       5.6       0.0       0.0       8.0       8.0
 29       8.0      -999       8.0       0.0       0.0       8.0       8.0       0.0       8.0       8.0       8.0       8.0
 30       2.4      -999       8.0       7.2       0.0       8.0       8.0       1.6       5.6       5.6       0.0       1.6
 31       0.0      -999       8.0      -999       0.0      -999       8.0       8.0      -999       2.4      -999       8.0

1912
  1       8.0       0.0       7.2       3.2       8.0       0.8       8.0       0.0       8.0       8.0       6.4       8.0
  2       8.0       0.0       8.0       0.0       6.4       8.0       8.0       8.0       8.0       0.0       2.4       1.6
  3       8.0       0.0       1.6       8.0       8.0       8.0       0.0       5.6       8.0       2.4       8.0       8.0
  4       8.0       7.2       8.0       8.0       8.0       8.0       1.6       8.0       5.6       1.6       8.0       8.0
  5       7.2       7.2       0.0       8.0       8.0       7.2       0.0       1.6       5.6       8.0       8.0       8.0
  6       8.0       8.0       0.0       4.0       6.4       0.0       0.0       8.0       4.0       8.0       8.0       1.6
  7       0.0       8.0       8.0       8.0       8.0       2.4       8.0       8.0       8.0       1.6       8.0       0.0
  8       8.0       1.6       0.0       7.2       8.0       8.0       2.4       0.0       5.6       0.0       8.0       2.4
  9       0.0       6.4       0.0       7.2       3.2       6.4       8.0       7.2       8.0       6.4       7.2       8.0
 10       8.0       0.0       6.4       0.0       8.0       8.0       8.0       0.0       5.6       8.0       3.2       8.0
 11       5.6       8.0       2.4       2.4       6.4       7.2       8.0       2.4       1.6       8.0       7.2       7.2
 12       8.0       8.0       8.0       8.0       0.0       8.0       8.0       1.6       0.0       8.0       8.0       3.2
 13       8.0       8.0       7.2       0.0       0.0       0.0       0.0       8.0       8.0       8.0       8.0       8.0
