SEF	1.0.0
ID	DEPIENNE-TUNISIA-MU-17
Name	DEPIENNE-TUNISIA-MU-17
Lat	36.4500
Lon	10.0500
Alt	0.0
Source	ISPDv4
Link	
Vbl	mslp
Stat	point
Units	hPa
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1943	11	5	22	0	0	1009.80	
1943	11	5	23	0	0	1009.50	
1943	11	6	0	0	0	1009.10	
1943	11	6	1	0	0	1009.10	
1943	11	6	2	0	0	1008.80	
1943	11	6	3	0	0	1008.80	
1943	11	6	4	0	0	1008.80	
1943	11	6	5	0	0	1009.10	
1943	11	6	6	0	0	1009.80	
1943	11	6	7	0	0	1009.80	
1943	11	6	8	0	0	1010.50	
1943	11	6	9	0	0	1011.20	
1943	11	6	10	0	0	1010.80	
1943	11	6	11	0	0	1010.50	
1943	11	6	12	0	0	1010.20	
1943	11	6	13	0	0	1010.20	
1943	11	6	14	0	0	1010.50	
1943	11	6	15	0	0	1010.50	
1943	11	6	16	0	0	1010.80	
1943	11	6	17	0	0	1011.20	
1943	11	6	18	0	0	1012.20	
1943	11	6	19	0	0	1012.50	
1943	11	6	20	0	0	1012.90	
1943	11	6	21	0	0	1012.90	
1943	11	6	22	0	0	1012.90	
1943	11	6	23	0	0	1012.90	
1943	11	7	0	0	0	1012.90	
1943	11	7	1	0	0	1011.90	
1943	11	7	2	0	0	1011.90	
1943	11	7	3	0	0	1011.90	
1943	11	7	4	0	0	1011.90	
1943	11	7	5	0	0	1011.90	
1943	11	7	6	0	0	1012.50	
1943	11	7	7	0	0	1012.50	
1943	11	7	8	0	0	1013.20	
1943	11	7	9	0	0	1013.20	
1943	11	7	10	0	0	1012.90	
1943	11	7	11	0	0	1012.90	
1943	11	7	12	0	0	1012.90	
1943	11	7	13	0	0	1013.20	
1943	11	7	14	0	0	1013.20	
1943	11	7	15	0	0	1013.50	
1943	11	7	16	0	0	1013.50	
1943	11	7	17	0	0	1013.50	
1943	11	7	18	0	0	1013.50	
1943	11	7	19	0	0	1013.90	
1943	11	7	20	0	0	1014.20	
1943	11	7	21	0	0	1013.50	
1943	11	7	22	0	0	1013.50	
1943	11	7	23	0	0	1013.20	
1943	11	8	0	0	0	1013.50	
1943	11	8	1	0	0	1013.50	
1943	11	8	2	0	0	1013.90	
1943	11	8	3	0	0	1014.30	
1943	11	8	4	0	0	1014.90	
1943	11	8	5	0	0	1015.20	
1943	11	8	6	0	0	1015.60	
1943	11	8	7	0	0	1015.90	
1943	11	8	8	0	0	1016.60	
1943	11	8	9	0	0	1016.60	
1943	11	8	10	0	0	1016.60	
1943	11	8	11	0	0	1016.60	
1943	11	8	12	0	0	1016.60	
1943	11	8	13	0	0	1016.60	
1943	11	8	14	0	0	1016.90	
1943	11	8	15	0	0	1017.60	
1943	11	8	16	0	0	1018.00	
1943	11	8	17	0	0	1017.60	
1943	11	8	18	0	0	1018.00	
1943	11	8	19	0	0	1018.30	
1943	11	8	20	0	0	1018.60	
1943	11	8	21	0	0	1018.60	
1943	11	8	22	0	0	1019.00	
1943	11	8	23	0	0	1019.00	
1943	11	9	0	0	0	1019.00	
1943	11	9	1	0	0	1018.60	
1943	11	9	2	0	0	1018.30	
1943	11	9	3	0	0	1018.30	
1943	11	9	4	0	0	1018.30	
1943	11	9	5	0	0	1018.30	
1943	11	9	6	0	0	1018.30	
1943	11	9	7	0	0	1018.60	
1943	11	9	8	0	0	1018.60	
1943	11	9	9	0	0	1018.60	
1943	11	9	10	0	0	1018.00	
1943	11	9	11	0	0	1017.60	
1943	11	9	12	0	0	1018.00	
1943	11	9	13	0	0	1018.60	
1943	11	9	14	0	0	1018.60	
1943	11	9	15	0	0	1018.60	
1943	11	9	16	0	0	1018.90	
1943	11	9	17	0	0	1018.90	
1943	11	9	18	0	0	1018.90	
1943	11	9	19	0	0	1019.60	
1943	11	9	20	0	0	1019.60	
1943	11	9	21	0	0	1019.60	
1943	11	9	22	0	0	1019.60	
1943	11	9	23	0	0	1019.00	
1943	11	10	0	0	0	1019.00	
1943	11	10	1	0	0	1018.60	
1943	11	10	2	0	0	1018.60	
1943	11	10	3	0	0	1019.00	
1943	11	10	4	0	0	1019.00	
1943	11	10	5	0	0	1019.60	
1943	11	10	6	0	0	1020.30	
1943	11	10	7	0	0	1020.30	
1943	11	10	8	0	0	1020.30	
1943	11	10	9	0	0	1020.70	
1943	11	10	10	0	0	1020.00	
1943	11	10	11	0	0	1019.30	
1943	11	10	12	0	0	1018.60	
1943	11	10	13	0	0	1019.00	
1943	11	10	14	0	0	1019.00	
1943	11	10	15	0	0	1019.00	
1943	11	10	16	0	0	1019.00	
1943	11	10	17	0	0	1019.00	
1943	11	10	18	0	0	1019.00	
1943	11	10	19	0	0	1019.00	
1943	11	10	20	0	0	1019.00	
1943	11	10	21	0	0	1019.00	
1943	11	10	22	0	0	1019.00	
1943	11	10	23	0	0	1018.60	
1943	11	11	0	0	0	1019.30	
1943	11	11	1	0	0	1019.30	
1943	11	11	2	0	0	1019.30	
1943	11	11	3	0	0	1018.60	
1943	11	11	4	0	0	1018.30	
1943	11	11	5	0	0	1018.60	
1943	11	11	6	0	0	1019.30	
1943	11	11	7	0	0	1020.00	
1943	11	11	8	0	0	1020.00	
1943	11	11	9	0	0	1019.00	
1943	11	11	10	0	0	1019.30	
1943	11	11	11	0	0	1018.30	
1943	11	11	12	0	0	1017.60	
1943	11	11	13	0	0	1017.30	
1943	11	11	14	0	0	1017.30	
1943	11	11	15	0	0	1016.90	
1943	11	11	16	0	0	1016.90	
1943	11	11	17	0	0	1017.60	
1943	11	11	18	0	0	1018.30	
1943	11	11	19	0	0	1018.30	
1943	11	11	20	0	0	1018.30	
1943	11	11	21	0	0	1018.30	
1943	11	11	22	0	0	1018.30	
1943	11	11	23	0	0	1017.30	
1943	11	12	0	0	0	1016.90	
1943	11	12	1	0	0	1016.60	
1943	11	12	2	0	0	1016.60	
1943	11	12	3	0	0	1016.30	
1943	11	12	4	0	0	1015.90	
1943	11	12	5	0	0	1015.60	
1943	11	12	6	0	0	1015.60	
1943	11	12	7	0	0	1015.90	
1943	11	12	8	0	0	1015.90	
1943	11	12	9	0	0	1015.90	
1943	11	12	10	0	0	1015.20	
1943	11	12	11	0	0	1014.20	
1943	11	12	12	0	0	1013.20	
1943	11	12	13	0	0	1012.50	
1943	11	12	14	0	0	1012.50	
1943	11	12	15	0	0	1012.50	
1943	11	12	16	0	0	1012.90	
1943	11	12	17	0	0	1012.90	
1943	11	12	18	0	0	1012.90	
1943	11	12	19	0	0	1013.50	
1943	11	12	20	0	0	1013.90	
1943	11	12	21	0	0	1013.90	
1943	11	12	22	0	0	1013.90	
1943	11	12	23	0	0	1013.90	
1943	11	13	0	0	0	1013.90	
1943	11	13	1	0	0	1013.90	
1943	11	13	2	0	0	1014.20	
1943	11	13	3	0	0	1014.20	
1943	11	13	4	0	0	1014.20	
1943	11	13	5	0	0	1014.50	
1943	11	13	6	0	0	1014.80	
1943	11	13	7	0	0	1015.20	
1943	11	13	8	0	0	1015.90	
1943	11	13	9	0	0	1015.60	
1943	11	13	10	0	0	1015.60	
1943	11	13	11	0	0	1015.90	
1943	11	13	12	0	0	1015.20	
1943	11	13	13	0	0	1015.20	
1943	11	13	14	0	0	1015.60	
1943	11	13	15	0	0	1016.30	
1943	11	13	16	0	0	1016.60	
1943	11	13	17	0	0	1016.90	
1943	11	13	18	0	0	1016.60	
1943	11	13	19	0	0	1016.60	
1943	11	13	20	0	0	1013.30	
1943	11	13	21	0	0	1016.60	
1943	11	13	22	0	0	1015.90	
1943	11	13	23	0	0	1015.60	
1943	11	14	0	0	0	1015.20	
1943	11	14	1	0	0	1014.90	
1943	11	14	2	0	0	1014.60	
1943	11	14	3	0	0	1014.20	
1943	11	14	4	0	0	1013.90	
1943	11	14	5	0	0	1013.90	
1943	11	14	6	0	0	1013.50	
1943	11	14	7	0	0	1012.90	
1943	11	14	8	0	0	1012.90	
1943	11	14	9	0	0	1012.00	
1943	11	14	10	0	0	1011.10	
1943	11	14	11	0	0	1010.20	
1943	11	14	12	0	0	1009.70	
1943	11	14	13	0	0	1009.10	
1943	11	14	14	0	0	1008.50	
1943	11	14	15	0	0	1007.80	
1943	11	14	16	0	0	1007.50	
1943	11	14	17	0	0	1007.10	
1943	11	14	18	0	0	1007.10	
1943	11	14	19	0	0	1007.10	
1943	11	14	20	0	0	1007.10	
1943	11	14	21	0	0	1007.10	
1943	11	14	22	0	0	1007.10	
1943	11	14	23	0	0	1006.80	
1943	11	15	0	0	0	1006.10	
1943	11	15	1	0	0	1005.80	
1943	11	15	2	0	0	1005.80	
1943	11	15	3	0	0	1005.10	
1943	11	15	4	0	0	1005.10	
1943	11	15	5	0	0	1004.70	
1943	11	15	6	0	0	1005.40	
1943	11	15	7	0	0	1006.10	
1943	11	15	8	0	0	1006.10	
1943	11	15	9	0	0	1005.80	
1943	11	15	10	0	0	1005.80	
1943	11	15	11	0	0	1005.80	
1943	11	15	12	0	0	1006.10	
1943	11	15	13	0	0	1006.40	
1943	11	15	14	0	0	1007.80	
1943	11	15	15	0	0	1008.10	
1943	11	15	16	0	0	1009.00	
1943	11	15	17	0	0	1009.30	
1943	11	15	18	0	0	1009.90	
1943	11	15	19	0	0	1010.50	
1943	11	15	20	0	0	1011.20	
1943	11	15	21	0	0	1011.20	
1943	11	15	22	0	0	1011.50	
1943	11	15	23	0	0	1011.50	
1943	11	16	0	0	0	1011.50	
1943	11	16	1	0	0	1011.50	
1943	11	16	2	0	0	1011.50	
1943	11	16	3	0	0	1015.90	
1943	11	16	4	0	0	1012.50	
1943	11	16	5	0	0	1012.90	
1943	11	16	6	0	0	1012.50	
1943	11	16	7	0	0	1013.90	
1943	11	16	8	0	0	1014.20	
1943	11	16	9	0	0	1013.90	
1943	11	16	10	0	0	1013.90	
1943	11	16	11	0	0	1013.50	
1943	11	16	12	0	0	1012.90	
1943	11	16	13	0	0	1012.50	
1943	11	16	14	0	0	1012.50	
1943	11	16	15	0	0	1013.20	
1943	11	16	16	0	0	1013.20	
1943	11	16	17	0	0	1013.50	
1943	11	16	18	0	0	1013.90	
1943	11	16	19	0	0	1013.90	
1943	11	16	20	0	0	1015.90	
1943	11	16	21	0	0	1015.90	
1943	11	16	22	0	0	1016.60	
1943	11	16	23	0	0	1016.60	
1943	11	17	0	0	0	1016.30	
1943	11	17	1	0	0	1016.30	
1943	11	17	2	0	0	1015.90	
1943	11	17	3	0	0	1015.90	
1943	11	17	4	0	0	1016.60	
1943	11	17	5	0	0	1016.90	
1943	11	17	6	0	0	1018.30	
1943	11	17	7	0	0	1019.00	
1943	11	17	8	0	0	1019.00	
1943	11	17	9	0	0	1019.00	
1943	11	17	10	0	0	1018.60	
1943	11	17	11	0	0	1018.00	
1943	11	17	12	0	0	1017.60	
1943	11	17	13	0	0	1017.60	
1943	11	17	14	0	0	1017.60	
1943	11	17	15	0	0	1017.60	
1943	11	17	16	0	0	1017.60	
1943	11	17	17	0	0	1017.60	
1943	11	17	18	0	0	1018.00	
1943	11	17	19	0	0	1018.30	
1943	11	17	20	0	0	1018.00	
1943	11	17	21	0	0	1017.60	
1943	11	17	22	0	0	1017.60	
1943	11	17	23	0	0	1016.90	
1943	11	18	0	0	0	1016.90	
1943	11	18	1	0	0	1016.30	
1943	11	18	2	0	0	1015.60	
1943	11	18	3	0	0	1015.60	
1943	11	18	4	0	0	1015.20	
1943	11	18	5	0	0	1014.90	
1943	11	18	6	0	0	1014.90	
1943	11	18	7	0	0	1014.90	
1943	11	18	8	0	0	1014.60	
1943	11	18	9	0	0	1013.20	
1943	11	18	10	0	0	1011.90	
1943	11	18	11	0	0	1011.50	
1943	11	18	12	0	0	1010.50	
1943	11	18	13	0	0	1010.20	
1943	11	18	14	0	0	1010.20	
1943	11	18	15	0	0	1010.50	
1943	11	18	16	0	0	1010.50	
1943	11	18	17	0	0	1010.80	
1943	11	18	18	0	0	1011.50	
1943	11	18	19	0	0	1011.50	
1943	11	18	20	0	0	1011.50	
1943	11	18	21	0	0	1011.50	
1943	11	18	22	0	0	1011.90	
1943	11	18	23	0	0	1011.90	
1943	11	19	0	0	0	1011.90	
1943	11	19	1	0	0	1011.50	
1943	11	19	2	0	0	1011.50	
1943	11	19	3	0	0	1011.20	
1943	11	19	4	0	0	1011.50	
1943	11	19	5	0	0	1011.50	
1943	11	19	6	0	0	1011.50	
1943	11	19	7	0	0	1011.50	
1943	11	19	8	0	0	1011.50	
1943	11	19	9	0	0	1011.20	
1943	11	19	10	0	0	1010.50	
1943	11	19	11	0	0	1009.50	
1943	11	19	12	0	0	1009.50	
1943	11	19	13	0	0	1008.50	
1943	11	19	14	0	0	1008.50	
1943	11	19	15	0	0	1008.50	
1943	11	19	16	0	0	1008.80	
1943	11	19	17	0	0	1009.10	
1943	11	19	18	0	0	1010.20	
1943	11	19	19	0	0	1010.20	
1943	11	19	20	0	0	1010.20	
1943	11	19	21	0	0	1009.50	
1943	11	19	22	0	0	1010.20	
1943	11	19	23	0	0	1009.50	
1943	11	20	0	0	0	1009.50	
1943	11	20	1	0	0	1009.50	
1943	11	20	2	0	0	1009.50	
1943	11	20	3	0	0	1009.50	
1943	11	20	4	0	0	1010.20	
1943	11	20	5	0	0	1010.50	
1943	11	20	6	0	0	1010.80	
1943	11	20	7	0	0	1012.50	
1943	11	20	8	0	0	1013.50	
1943	11	20	9	0	0	1014.20	
1943	11	20	10	0	0	1014.20	
1943	11	20	11	0	0	1014.20	
1943	11	20	12	0	0	1014.20	
1943	11	20	13	0	0	1014.20	
1943	11	20	14	0	0	1014.20	
1943	11	20	15	0	0	1015.60	
1943	11	20	16	0	0	1015.90	
1943	11	20	17	0	0	1016.90	
1943	11	20	18	0	0	1017.30	
1943	11	20	19	0	0	1017.60	
1943	11	20	20	0	0	1018.30	
1943	11	20	21	0	0	1018.60	
1943	11	20	22	0	0	1018.60	
1943	11	20	23	0	0	1018.30	
1943	11	21	0	0	0	1018.30	
1943	11	21	1	0	0	1018.30	
1943	11	21	2	0	0	1018.30	
1943	11	21	3	0	0	1018.00	
1943	11	21	4	0	0	1017.60	
1943	11	21	5	0	0	1017.60	
1943	11	21	6	0	0	1017.60	
1943	11	21	7	0	0	1017.60	
1943	11	21	8	0	0	1017.60	
1943	11	21	9	0	0	1017.30	
1943	11	21	10	0	0	1016.90	
1943	11	21	11	0	0	1016.30	
1943	11	21	12	0	0	1015.80	
1943	11	21	13	0	0	1015.20	
1943	11	21	14	0	0	1015.60	
1943	11	21	15	0	0	1015.60	
1943	11	21	16	0	0	1015.60	
1943	11	21	17	0	0	1015.90	
1943	11	21	18	0	0	1016.30	
1943	11	21	19	0	0	1015.90	
1943	11	21	20	0	0	1015.90	
1943	11	21	21	0	0	1015.90	
1943	11	21	22	0	0	1015.90	
1943	11	21	23	0	0	1015.60	
1943	11	22	0	0	0	1014.90	
1943	11	22	1	0	0	1014.60	
1943	11	22	2	0	0	1014.60	
1943	11	22	3	0	0	1014.20	
1943	11	22	4	0	0	1014.20	
1943	11	22	5	0	0	1014.20	
1943	11	22	6	0	0	1014.20	
1943	11	22	7	0	0	1014.90	
1943	11	22	8	0	0	1014.60	
1943	11	22	9	0	0	1014.20	
1943	11	22	10	0	0	1012.50	
1943	11	22	11	0	0	1011.50	
1943	11	22	12	0	0	1011.50	
1943	11	22	13	0	0	1011.20	
1943	11	22	15	0	0	1010.80	
1943	11	22	16	0	0	1011.20	
1943	11	22	17	0	0	1011.20	
1943	11	22	18	0	0	1011.20	
1943	11	22	19	0	0	1011.50	
1943	11	22	20	0	0	1011.50	
1943	11	22	21	0	0	1011.90	
1943	11	22	22	0	0	1011.90	
1943	11	22	23	0	0	1011.90	
1943	11	23	0	0	0	1011.90	
1943	11	23	1	0	0	1011.50	
1943	11	23	2	0	0	1011.50	
1943	11	23	3	0	0	1011.50	
1943	11	23	4	0	0	1011.50	
1943	11	23	5	0	0	1011.90	
1943	11	23	6	0	0	1011.50	
1943	11	23	7	0	0	1011.90	
1943	11	23	8	0	0	1011.90	
1943	11	23	9	0	0	1011.20	
1943	11	23	10	0	0	1011.90	
1943	11	23	11	0	0	1011.20	
1943	11	23	12	0	0	1011.20	
1943	11	23	13	0	0	1011.20	
1943	11	23	14	0	0	1012.30	
1943	11	23	15	0	0	1014.60	
1943	11	23	16	0	0	1015.90	
1943	11	23	17	0	0	1016.60	
1943	11	23	18	0	0	1018.00	
1943	11	23	19	0	0	1019.00	
1943	11	23	20	0	0	1019.30	
1943	11	23	21	0	0	1020.00	
1943	11	23	22	0	0	1020.70	
1943	11	23	23	0	0	1021.00	
1943	11	24	0	0	0	1021.00	
1943	11	24	1	0	0	1021.00	
1943	11	24	2	0	0	1021.00	
1943	11	24	3	0	0	1021.00	
1943	11	24	4	0	0	1021.70	
1943	11	24	5	0	0	1022.40	
1943	11	24	6	0	0	1022.40	
1943	11	24	7	0	0	1022.40	
1943	11	24	8	0	0	1023.00	
1943	11	24	9	0	0	1023.00	
1943	11	24	10	0	0	1023.00	
1943	11	24	11	0	0	1022.70	
1943	11	24	12	0	0	1023.00	
1943	11	24	13	0	0	1023.00	
1943	11	24	14	0	0	1023.00	
1943	11	24	15	0	0	1023.00	
1943	11	24	16	0	0	1023.40	
1943	11	24	18	0	0	1023.70	
1943	11	24	19	0	0	1023.70	
1943	11	24	20	0	0	1022.40	
1943	11	24	21	0	0	1024.00	
1943	11	24	22	0	0	1023.00	
1943	11	24	23	0	0	1023.70	
1943	11	25	0	0	0	1022.40	
1943	11	25	1	0	0	1022.00	
1943	11	25	2	0	0	1021.30	
1943	11	25	3	0	0	1021.00	
1943	11	25	4	0	0	1020.30	
1943	11	25	5	0	0	1020.30	
1943	11	25	6	0	0	1021.00	
1943	11	25	7	0	0	1021.00	
1943	11	25	8	0	0	1021.00	
1943	11	25	9	0	0	1020.70	
1943	11	25	10	0	0	1019.30	
1943	11	25	11	0	0	1019.00	
1943	11	25	12	0	0	1019.00	
1943	11	25	13	0	0	1018.00	
1943	11	25	14	0	0	1017.60	
1943	11	25	15	0	0	1017.60	
1943	11	25	16	0	0	1018.00	
1943	11	25	17	0	0	1018.30	
1943	11	25	18	0	0	1018.30	
1943	11	25	19	0	0	1018.30	
1943	11	25	20	0	0	1018.60	
1943	11	25	21	0	0	1018.60	
1943	11	25	22	0	0	1018.30	
1943	11	25	23	0	0	1018.00	
1943	11	26	0	0	0	1018.30	
1943	11	26	1	0	0	1018.30	
1943	11	26	2	0	0	1018.00	
1943	11	26	3	0	0	1018.00	
1943	11	26	4	0	0	1018.60	
1943	11	26	5	0	0	1018.60	
1943	11	26	6	0	0	1018.60	
1943	11	26	7	0	0	1018.60	
1943	11	26	8	0	0	1018.60	
1943	11	26	9	0	0	1019.00	
1943	11	26	10	0	0	1018.30	
1943	11	26	11	0	0	1017.30	
1943	11	26	12	0	0	1016.60	
1943	11	26	13	0	0	1016.30	
1943	11	26	14	0	0	1016.30	
1943	11	26	15	0	0	1016.30	
1943	11	26	16	0	0	1016.60	
1943	11	26	17	0	0	1016.60	
1943	11	26	18	0	0	1016.90	
1943	11	26	19	0	0	1016.60	
1943	11	26	20	0	0	1016.60	
1943	11	26	21	0	0	1016.60	
1943	11	26	22	0	0	1016.60	
1943	11	26	23	0	0	1016.60	
1943	11	27	0	0	0	1016.30	
1943	11	27	1	0	0	1016.30	
1943	11	27	2	0	0	1015.60	
1943	11	27	3	0	0	1015.60	
1943	11	27	4	0	0	1015.60	
1943	11	27	5	0	0	1015.60	
1943	11	27	6	0	0	1015.90	
1943	11	27	7	0	0	1015.90	
1943	11	27	8	0	0	1016.60	
1943	11	27	9	0	0	1015.90	
1943	11	27	10	0	0	1015.20	
1943	11	27	11	0	0	1014.60	
1943	11	27	12	0	0	1014.20	
1943	11	27	13	0	0	1013.20	
1943	11	27	14	0	0	1013.90	
1943	11	27	15	0	0	1014.60	
1943	11	27	16	0	0	1013.90	
1943	11	27	17	0	0	1014.20	
1943	11	27	18	0	0	1014.60	
1943	11	27	19	0	0	1014.60	
1943	11	27	20	0	0	1014.90	
1943	11	27	21	0	0	1015.20	
1943	11	27	22	0	0	1015.20	
1943	11	27	23	0	0	1015.90	
1943	11	28	0	0	0	1015.90	
1943	11	28	1	0	0	1016.30	
1943	11	28	2	0	0	1015.90	
1943	11	28	3	0	0	1015.90	
1943	11	28	4	0	0	1016.30	
1943	11	28	5	0	0	1016.90	
1943	11	28	6	0	0	1017.30	
1943	11	28	7	0	0	1018.00	
1943	11	28	8	0	0	1018.60	
1943	11	28	9	0	0	1018.60	
1943	11	28	10	0	0	1019.60	
1943	11	28	11	0	0	1019.00	
1943	11	28	12	0	0	1019.30	
1943	11	28	13	0	0	1019.30	
1943	11	28	14	0	0	1019.60	
1943	11	28	15	0	0	1020.00	
1943	11	28	16	0	0	1021.00	
1943	11	28	17	0	0	1021.70	
1943	11	28	18	0	0	1022.40	
1943	11	28	19	0	0	1023.00	
1943	11	28	20	0	0	1023.70	
1943	11	28	21	0	0	1023.70	
1943	11	28	22	0	0	1024.00	
1943	11	28	23	0	0	1024.40	
1943	11	29	0	0	0	1024.70	
1943	11	29	1	0	0	1024.70	
1943	11	29	2	0	0	1024.70	
1943	11	29	3	0	0	1024.40	
1943	11	29	4	0	0	1024.40	
1943	11	29	5	0	0	1024.70	
1943	11	29	6	0	0	1025.10	
1943	11	29	7	0	0	1025.40	
1943	11	29	8	0	0	1025.70	
1943	11	29	9	0	0	1025.70	
1943	11	29	10	0	0	1025.40	
1943	11	29	11	0	0	1025.10	
1943	11	29	12	0	0	1024.00	
1943	11	29	13	0	0	1023.70	
1943	11	29	14	0	0	1023.70	
1943	11	29	15	0	0	1023.70	
1943	11	29	16	0	0	1023.70	
1943	11	29	17	0	0	1024.70	
1943	11	29	18	0	0	1024.70	
1943	11	29	19	0	0	1024.70	
1943	11	29	20	0	0	1024.70	
1943	11	29	21	0	0	1024.70	
1943	11	29	22	0	0	1024.70	
1943	11	29	23	0	0	1024.00	
1943	11	30	0	0	0	1023.70	
1943	11	30	1	0	0	1023.40	
1943	11	30	2	0	0	1023.00	
1943	11	30	3	0	0	1023.00	
1943	11	30	4	0	0	1023.00	
1943	11	30	5	0	0	1023.00	
1943	11	30	6	0	0	1023.00	
1943	11	30	7	0	0	1023.40	
1943	11	30	8	0	0	1023.40	
1943	11	30	9	0	0	1023.40	
1943	11	30	10	0	0	1022.40	
1943	11	30	11	0	0	1021.30	
1943	11	30	12	0	0	1020.70	
1943	11	30	13	0	0	1020.30	
1943	11	30	14	0	0	1020.30	
1943	11	30	15	0	0	1020.60	
1943	11	30	16	0	0	1021.30	
1943	11	30	17	0	0	1021.30	
1943	11	30	18	0	0	1021.70	
1943	11	30	19	0	0	1021.70	
1943	11	30	20	0	0	1021.70	
1943	11	30	21	0	0	1021.70	
1943	11	30	22	0	0	1021.70	
1943	11	30	23	0	0	1021.30	
1943	12	1	0	0	0	1021.00	
1943	12	1	1	0	0	1021.00	
1943	12	1	2	0	0	1021.00	
1943	12	1	3	0	0	1020.60	
1943	12	1	4	0	0	1020.60	
1943	12	1	5	0	0	1021.30	
1943	12	1	6	0	0	1021.70	
1943	12	1	7	0	0	1021.70	
1943	12	1	8	0	0	1021.70	
1943	12	1	9	0	0	1022.00	
1943	12	1	10	0	0	1021.30	
1943	12	1	11	0	0	1021.30	
1943	12	1	12	0	0	1020.70	
1943	12	1	13	0	0	1020.70	
1943	12	1	14	0	0	1020.70	
1943	12	1	15	0	0	1021.00	
1943	12	1	16	0	0	1021.00	
1943	12	1	17	0	0	1021.70	
1943	12	1	18	0	0	1022.40	
1943	12	1	19	0	0	1022.40	
1943	12	1	20	0	0	1022.40	
1943	12	1	21	0	0	1023.00	
1943	12	1	22	0	0	1022.70	
1943	12	1	23	0	0	1022.40	
1943	12	2	0	0	0	1022.40	
1943	12	2	1	0	0	1022.40	
1943	12	2	2	0	0	1022.00	
1943	12	2	3	0	0	1022.00	
1943	12	2	4	0	0	1022.00	
1943	12	2	5	0	0	1022.00	
1943	12	2	6	0	0	1022.70	
1943	12	2	7	0	0	1022.70	
1943	12	2	8	0	0	1024.00	
1943	12	2	9	0	0	1023.70	
1943	12	2	10	0	0	1023.00	
1943	12	2	11	0	0	1022.40	
1943	12	2	12	0	0	1021.30	
1943	12	2	13	0	0	1021.30	
1943	12	2	14	0	0	1021.30	
1943	12	2	15	0	0	1022.00	
1943	12	2	16	0	0	1022.00	
1943	12	2	17	0	0	1022.00	
1943	12	2	18	0	0	1022.00	
1943	12	2	19	0	0	1022.00	
1943	12	2	20	0	0	1022.00	
1943	12	2	21	0	0	1021.70	
1943	12	2	22	0	0	1021.30	
1943	12	2	23	0	0	1020.70	
1943	12	3	0	0	0	1020.70	
1943	12	3	1	0	0	1020.30	
1943	12	3	2	0	0	1020.00	
1943	12	3	3	0	0	1019.60	
1943	12	3	4	0	0	1019.60	
1943	12	3	5	0	0	1019.60	
1943	12	3	6	0	0	1019.60	
1943	12	3	7	0	0	1019.60	
1943	12	3	8	0	0	1019.60	
1943	12	3	9	0	0	1019.00	
1943	12	3	10	0	0	1018.30	
1943	12	3	11	0	0	1017.30	
1943	12	3	12	0	0	1016.30	
1943	12	3	13	0	0	1016.30	
1943	12	3	14	0	0	1015.90	
1943	12	3	15	0	0	1015.90	
1943	12	3	16	0	0	1015.90	
1943	12	3	17	0	0	1015.90	
1943	12	3	18	0	0	1015.90	
1943	12	3	19	0	0	1016.30	
1943	12	3	20	0	0	1016.30	
1943	12	3	21	0	0	1015.90	
1943	12	3	22	0	0	1015.20	
1943	12	3	23	0	0	1015.20	
1943	12	4	0	0	0	1015.20	
1943	12	4	1	0	0	1014.90	
1943	12	4	2	0	0	1014.90	
1943	12	4	3	0	0	1014.60	
1943	12	4	4	0	0	1014.90	
1943	12	4	5	0	0	1014.90	
1943	12	4	6	0	0	1015.20	
1943	12	4	7	0	0	1015.20	
1943	12	4	8	0	0	1015.60	
1943	12	4	9	0	0	1015.60	
1943	12	4	10	0	0	1014.90	
1943	12	4	11	0	0	1012.90	
1943	12	4	12	0	0	1012.50	
1943	12	4	13	0	0	1012.50	
1943	12	4	14	0	0	1012.50	
1943	12	4	15	0	0	1012.50	
1943	12	4	16	0	0	1012.90	
1943	12	4	17	0	0	1013.90	
1943	12	4	18	0	0	1013.90	
1943	12	4	19	0	0	1013.60	
1943	12	4	20	0	0	1013.60	
1943	12	4	21	0	0	1013.90	
1943	12	4	22	0	0	1013.90	
1943	12	4	23	0	0	1013.90	
1943	12	5	0	0	0	1013.90	
1943	12	5	1	0	0	1013.90	
1943	12	5	2	0	0	1014.20	
1943	12	5	3	0	0	1013.90	
1943	12	5	4	0	0	1014.20	
1943	12	5	5	0	0	1014.60	
1943	12	5	6	0	0	1014.90	
1943	12	5	7	0	0	1015.20	
1943	12	5	8	0	0	1015.60	
1943	12	5	9	0	0	1015.60	
1943	12	5	10	0	0	1014.90	
1943	12	5	11	0	0	1014.20	
1943	12	5	12	0	0	1013.50	
1943	12	5	13	0	0	1013.50	
1943	12	5	14	0	0	1013.50	
1943	12	5	15	0	0	1013.50	
1943	12	5	16	0	0	1013.50	
1943	12	5	17	0	0	1015.20	
1943	12	5	18	0	0	1015.60	
1943	12	5	19	0	0	1015.60	
1943	12	5	20	0	0	1015.60	
1943	12	5	21	0	0	1015.90	
1943	12	5	22	0	0	1015.90	
1943	12	5	23	0	0	1015.90	
1943	12	6	0	0	0	1015.90	
1943	12	6	1	0	0	1016.30	
1943	12	6	2	0	0	1016.30	
1943	12	6	3	0	0	1016.30	
1943	12	6	4	0	0	1016.30	
1943	12	6	5	0	0	1016.90	
1943	12	6	6	0	0	1016.90	
1943	12	6	7	0	0	1016.90	
